corrida,costo,tiempo_s,x1 (binary),x2 (binary),x3 (binary),x4 (binary),x5 (binary),x6 (binary),x7 (binary),x8 (binary)
1,-16.0,19.154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,-16.0,19.041,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,-16.0,15.297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,-16.0,15.593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,-16.0,11.348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,-16.0,16.398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,-16.0,15.966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,-16.0,16.827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,-16.0,17.214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,-16.0,12.424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
