Semana,Demanda_Forecast_ANN,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout,Escenario
41,256,308,80.0,132.0,0,0,OPTIMO A
42,187,225,132.0,170.0,0,0,OPTIMO A
43,200,240,170.0,210.0,0,0,OPTIMO A
44,220,264,210.0,254.0,0,0,OPTIMO A
45,233,280,254.0,300.0,1,0,OPTIMO A
46,246,296,300.0,300.0,50,0,OPTIMO A
47,260,312,300.0,300.0,52,0,OPTIMO A
48,279,335,300.0,300.0,56,0,OPTIMO A
49,209,251,300.0,300.0,42,0,OPTIMO A
50,223,268,300.0,300.0,45,0,OPTIMO A
51,236,284,300.0,300.0,48,0,OPTIMO A
52,179,215,300.0,300.0,36,0,OPTIMO A
41,256,256,50.0,50.0,0,0,OPTIMO B
42,187,187,50.0,50.0,0,0,OPTIMO B
43,200,200,50.0,50.0,0,0,OPTIMO B
44,220,220,50.0,50.0,0,0,OPTIMO B
45,233,233,50.0,50.0,0,0,OPTIMO B
46,246,246,50.0,50.0,0,0,OPTIMO B
47,260,260,50.0,50.0,0,0,OPTIMO B
48,279,279,50.0,50.0,0,0,OPTIMO B
49,209,209,50.0,50.0,0,0,OPTIMO B
50,223,223,50.0,50.0,0,0,OPTIMO B
51,236,236,50.0,50.0,0,0,OPTIMO B
52,179,179,50.0,50.0,0,0,OPTIMO B
41,256,205,30.0,0.0,0,21,INTERMEDIO
42,187,150,0.0,0.0,0,37,INTERMEDIO
43,200,160,0.0,0.0,0,40,INTERMEDIO
44,220,176,0.0,0.0,0,44,INTERMEDIO
45,233,187,0.0,0.0,0,46,INTERMEDIO
46,246,197,0.0,0.0,0,49,INTERMEDIO
47,260,208,0.0,0.0,0,52,INTERMEDIO
48,279,224,0.0,0.0,0,55,INTERMEDIO
49,209,168,0.0,0.0,0,41,INTERMEDIO
50,223,179,0.0,0.0,0,44,INTERMEDIO
51,236,189,0.0,0.0,0,47,INTERMEDIO
52,179,144,0.0,0.0,0,35,INTERMEDIO
41,256,0,10.0,0.0,0,246,CRITICO A
42,187,0,0.0,0.0,0,187,CRITICO A
43,200,0,0.0,0.0,0,200,CRITICO A
44,220,0,0.0,0.0,0,220,CRITICO A
45,233,0,0.0,0.0,0,233,CRITICO A
46,246,0,0.0,0.0,0,246,CRITICO A
47,260,0,0.0,0.0,0,260,CRITICO A
48,279,0,0.0,0.0,0,279,CRITICO A
49,209,0,0.0,0.0,0,209,CRITICO A
50,223,0,0.0,0.0,0,223,CRITICO A
51,236,0,0.0,0.0,0,236,CRITICO A
52,179,0,0.0,0.0,0,179,CRITICO A
41,256,77,0.0,0.0,0,179,CRITICO B
42,187,57,0.0,0.0,0,130,CRITICO B
43,200,60,0.0,0.0,0,140,CRITICO B
44,220,66,0.0,0.0,0,154,CRITICO B
45,233,70,0.0,0.0,0,163,CRITICO B
46,246,74,0.0,0.0,0,172,CRITICO B
47,260,78,0.0,0.0,0,182,CRITICO B
48,279,84,0.0,0.0,0,195,CRITICO B
49,209,63,0.0,0.0,0,146,CRITICO B
50,223,67,0.0,0.0,0,156,CRITICO B
51,236,71,0.0,0.0,0,165,CRITICO B
52,179,54,0.0,0.0,0,125,CRITICO B
