semana,demanda_real,demanda_predicha,Escenario_A,Escenario_B,Escenario_C,Escenario_D,Escenario_E
42,204,227.63087,182.104696,204.867783,227.63087,250.393957,273.157044
43,204,239.1085,191.2868,215.19765,239.1085,263.01935000000003,286.93019999999996
44,206,254.85866,203.886928,229.372794,254.85866,280.34452600000003,305.83039199999996
45,219,266.33014,213.064112,239.69712599999997,266.33014,292.963154,319.596168
46,227,277.8016,222.24128000000002,250.02144,277.8016,305.58176000000003,333.36192
47,228,289.27307,231.41845600000002,260.34576300000003,289.27307,318.20037700000006,347.127684
48,226,305.0022,244.00176000000002,274.50198,305.0022,335.50242000000003,366.00264
49,226,263.42087,210.736696,237.078783,263.42087,289.76295700000003,316.10504399999996
50,219,274.898,219.91840000000002,247.40820000000002,274.898,302.3878,329.87760000000003
51,206,286.37564,229.10051199999998,257.738076,286.37564,315.013204,343.65076799999997
52,213,251.75012,201.40009600000002,226.575108,251.75012,276.925132,302.100144
