semana,demanda_real,demanda_predicha,Politica_A,Politica_B,Politica_C
42,204,227.63087,273.157044,227.63087,182.104696
43,204,239.1085,286.93019999999996,239.1085,191.2868
44,206,254.85866,305.83039199999996,254.85866,203.886928
45,219,266.33014,319.596168,266.33014,213.064112
46,227,277.8016,333.36192,277.8016,222.24128000000002
47,228,289.27307,347.127684,289.27307,231.41845600000002
48,226,305.0022,366.00264,305.0022,244.00176000000002
49,226,263.42087,316.10504399999996,263.42087,210.736696
50,219,274.898,329.87760000000003,274.898,219.91840000000002
51,206,286.37564,343.65076799999997,286.37564,229.10051199999998
52,213,251.75012,302.100144,251.75012,201.40009600000002
