ds,base_prophet,escenario_alto_20,escenario_bajo_20,escenario_pesimista,escenario_optimista
2023-01-01,209.265054,251.11806479999998,167.4120432,247.85158894941225,193.13076864776957
2023-01-08,207.48238580392157,248.97886296470588,165.98590864313726,245.7338815684169,191.6721338751202
2023-01-15,205.69971760784316,246.83966112941178,164.55977408627453,244.1682188161724,188.37591879360428
2023-01-22,203.91704941345094,244.7004592961411,163.13363953076077,244.51898507740958,186.04975652237937
2023-01-29,202.13438122225912,242.56125746671094,161.7075049778073,239.61331712750126,185.34978841787833
2023-02-05,200.35171303106728,240.42205563728072,160.28137042485383,237.46046533394497,183.5951650614831
2023-02-12,198.56904483836752,238.282853806041,158.85523587069403,235.8415145232811,182.03266421360482
2023-02-19,196.78637664280637,236.14365197136763,157.42910131424512,236.13290709543773,180.71744175885146
2023-02-26,195.0037084472453,234.00445013669435,156.00296675779623,232.88521030253818,179.12666785577028
2023-03-05,193.2210402540412,231.86524830484944,154.57683220323298,230.29846858732304,177.46086170660104
2023-03-12,191.43837206083714,229.72604647300457,153.1506976486697,228.1891477091181,176.055951817847
2023-03-19,189.65570386667278,227.58684464000734,151.72456309333822,227.02441605394193,173.50275490140788
2023-03-26,187.87303653422057,225.4476438410647,150.29842922737646,224.79342897820737,172.02805386628555
2023-04-02,186.09036920176834,223.308443042122,148.87229536141467,222.60460011431996,168.77918800056878
2023-04-09,184.3088078347867,221.17056940174405,147.44704626782936,218.9273951708074,167.6194636675447
2023-04-16,182.52824297596194,219.03389157115433,146.02259438076956,219.52015174728498,166.43349545891172
2023-04-23,180.74767811713718,216.8972137405646,144.59814249370976,216.5008746921895,164.66874011836774
2023-04-30,178.9694274437634,214.76331293251607,143.17554195501074,216.07748140373207,163.77041160114777
2023-05-07,177.19117677038963,212.62941212446756,141.7529414163117,213.67535010402614,161.12877676050215
2023-05-14,175.4132200538943,210.49586406467316,140.33057604311543,211.43412979575345,159.00697286683652
2023-05-21,173.63934914549696,208.36721897459634,138.9114793163976,207.9883801540936,158.10821756652217
2023-05-28,171.86547823709967,206.23857388451958,137.49238258967975,206.69644910954273,154.90380374958934
2023-06-04,170.09195592238666,204.110347106864,136.07356473790932,203.7896349665907,153.8162675341672
2023-06-11,172.08664819590894,206.50397783509072,137.66931855672715,207.96550037054152,155.68674734076274
2023-06-18,174.08134046943124,208.89760856331748,139.265072375545,210.34508721979512,158.04637037351105
2023-06-25,176.0769732923065,211.29236795076778,140.8615786338452,211.7360153650611,160.33621754474768
2023-07-02,178.07260611518174,213.6871273382181,142.4580848921454,213.7839749919316,161.9856316520465
2023-07-09,180.0740360939393,216.08884331272716,144.05922887515143,214.97888483943692,164.33889280789904
2023-07-16,182.0761470914812,218.49137650977744,145.66091767318497,218.05716843266288,166.17325946937086
2023-07-23,184.07825808902314,220.89390970682777,147.2626064712185,219.66098041801553,167.19629868144753
2023-07-30,186.08074750323172,223.29689700387806,148.86459800258538,223.13195451534338,169.4122785577702
2023-08-06,188.08323692414618,225.6998843089754,150.46658953931694,225.21184050159775,170.65015550255407
2023-08-13,190.0857263450607,228.10287161407282,152.06858107604856,227.13109534125613,174.2125278208127
2023-08-20,192.08821576669868,230.5058589200384,153.67057261335896,229.3772249207977,174.28747145642708
2023-08-27,194.09070518833667,232.908846226004,155.27256415066935,233.26097303731515,177.13928470710601
2023-09-03,196.09319460660942,235.3118335279313,156.87455568528753,231.8027940261689,179.05559653913983
2023-09-10,198.09568402263633,237.71482082716358,158.4765472181091,235.33484868323495,182.46826817673005
2023-09-17,200.0981734386632,240.11780812639583,160.07853875093056,238.74956595788908,184.5613251581828
2023-09-24,202.1006628560643,242.52079542727716,161.68053028485144,240.1987548833335,184.67580885728032
2023-10-01,204.10315227021076,244.9237827242529,163.2825218161686,243.57833608559164,187.51769784238698
2023-10-08,206.10564168435732,247.32677002122878,164.88451334748586,244.63276497691584,189.51537345416
2023-10-15,208.10813109711745,249.72975731654094,166.48650487769396,246.8525735193124,191.27992724845845
2023-10-22,210.11062050987752,252.132744611853,168.08849640790203,249.8935074873443,194.227599397193
2023-10-29,212.11310992263765,254.53573190716517,169.69048793811012,250.2450182886889,195.93427207620357
2023-11-05,214.11559933539777,256.93871920247733,171.29247946831822,253.7314311089226,197.5114961411606
2023-11-12,216.11808874815785,259.3417064977894,172.8944709985263,255.50564318132496,199.47694364044955
2023-11-19,218.12057816091794,261.74469379310153,174.49646252873436,257.9346498533135,200.32964761107738
2023-11-26,220.12306757367807,264.14768108841366,176.09845405894248,261.26538735031926,204.25581943475126
2023-12-03,222.12555698643817,266.5506683837258,177.70044558915055,262.4218087182806,205.55896660724088
2023-12-10,224.12804639919827,268.9536556790379,179.30243711935861,264.2553379606855,207.26987624445945
2023-12-17,226.13053581195837,271.35664297435005,180.9044286495667,266.98016244738045,210.56587692440263
2023-12-24,228.1330252247185,273.7596302696622,182.5064201797748,268.9689602586515,212.57287041524978
2023-12-31,230.13551463747856,276.16261756497425,184.10841170998287,271.3270904965769,213.43271815355976
2024-01-07,232.13800405023872,278.56560486028644,185.710403240191,272.67750560844377,214.7571612486059
2024-01-14,234.1404934629988,280.9685921555985,187.31239477039904,273.8893584809033,219.18855580825374
2024-01-21,236.1429828757589,283.37157945091064,188.91438630060713,277.3955074050311,219.5903821133473
2024-01-28,238.14547228851904,285.77456674622283,190.51637783081526,280.39755935712526,220.73629292976503
2024-02-04,240.1479617012791,288.1775540415349,192.11836936102327,282.3512037043508,222.92583353529756
2024-02-11,242.15045111403919,290.58054133684703,193.72036089123137,285.34610644913477,224.64303770751954
2024-02-18,244.15294052679937,292.9835286321592,195.32235242143952,287.8308254242352,228.2184662948885
2024-02-25,246.1554299395594,295.3865159274713,196.92434395164753,287.92733770743064,230.29419926853285
2024-03-03,248.1579193523195,297.7895032227834,198.52633548185563,293.3738334201923,231.71257206674767
2024-03-10,250.1604087650796,300.1924905180955,200.1283270120637,294.6705200243483,232.74653703094964
2024-03-17,252.16289817783974,302.5954778134077,201.7303185422718,295.77580816191414,235.23605507247012
