ds,demanda,recepcion,inventario_final,stockout,sobrestock
2023-01-01,251.1180648,271.1180648,120.0,0,100.0
2023-01-08,248.97886296470588,268.97886296470585,139.99999999999997,0,119.99999999999997
2023-01-15,246.83966112941175,266.83966112941175,160.0,0,140.0
2023-01-22,244.7004592961411,264.7004592961411,180.0,0,160.0
2023-01-29,242.5612574667109,262.5612574667109,200.0,0,180.0
2023-02-05,240.42205563728072,260.4220556372807,220.0,0,200.0
2023-02-12,238.282853806041,258.282853806041,239.99999999999997,0,219.99999999999997
2023-02-19,236.14365197136763,256.1436519713676,260.0,0,240.0
2023-02-26,234.00445013669437,254.00445013669437,280.0,0,260.0
2023-03-05,231.86524830484944,251.86524830484944,300.00000000000006,0,280.00000000000006
2023-03-12,229.72604647300457,249.72604647300457,320.0000000000001,0,300.0000000000001
2023-03-19,227.5868446400073,247.5868446400073,340.00000000000017,0,320.00000000000017
2023-03-26,225.4476438410647,245.4476438410647,360.00000000000017,0,340.00000000000017
2023-04-02,223.308443042122,243.308443042122,380.0000000000002,0,360.0000000000002
2023-04-09,221.17056940174405,241.17056940174405,400.0000000000002,0,380.0000000000002
2023-04-16,219.03389157115436,239.03389157115436,420.00000000000017,0,400.00000000000017
2023-04-23,216.8972137405646,236.8972137405646,440.00000000000017,0,420.00000000000017
2023-04-30,214.76331293251607,234.76331293251607,460.0000000000001,0,440.0000000000001
2023-05-07,212.6294121244676,232.6294121244676,480.00000000000017,0,460.00000000000017
2023-05-14,210.4958640646732,230.4958640646732,500.0000000000001,0,480.0000000000001
2023-05-21,208.36721897459637,228.36721897459637,520.0,0,500.0
2023-05-28,206.2385738845196,226.2385738845196,540.0,0,520.0
2023-06-04,204.110347106864,224.110347106864,560.0,0,540.0
2023-06-11,206.50397783509072,226.50397783509072,580.0,0,560.0
2023-06-18,208.89760856331748,228.89760856331748,600.0,0,580.0
2023-06-25,211.29236795076775,231.29236795076775,620.0,0,600.0
2023-07-02,213.6871273382181,233.6871273382181,640.0,0,620.0
2023-07-09,216.0888433127272,236.0888433127272,660.0,0,640.0
2023-07-16,218.49137650977744,238.49137650977744,680.0,0,660.0
2023-07-23,220.89390970682777,240.89390970682777,700.0,0,680.0
2023-07-30,223.2968970038781,243.2968970038781,720.0,0,700.0
2023-08-06,225.6998843089754,245.6998843089754,740.0,0,720.0
2023-08-13,228.1028716140728,248.1028716140728,760.0,0,740.0
2023-08-20,230.5058589200384,250.5058589200384,780.0,0,760.0
2023-08-27,232.908846226004,252.908846226004,800.0,0,780.0
2023-09-03,235.3118335279313,255.3118335279313,820.0000000000001,0,800.0000000000001
2023-09-10,237.7148208271636,257.71482082716363,840.0000000000001,0,820.0000000000001
2023-09-17,240.11780812639583,260.11780812639586,860.0000000000002,0,840.0000000000002
2023-09-24,242.5207954272772,262.5207954272772,880.0000000000001,0,860.0000000000001
2023-10-01,244.9237827242529,264.9237827242529,900.0000000000001,0,880.0000000000001
2023-10-08,247.3267700212288,267.3267700212288,920.0,0,900.0
2023-10-15,249.7297573165409,269.72975731654094,940.0000000000001,0,920.0000000000001
2023-10-22,252.132744611853,272.132744611853,960.0,0,940.0
2023-10-29,254.5357319071652,274.5357319071652,980.0,0,960.0
2023-11-05,256.93871920247733,276.93871920247733,1000.0,0,980.0
2023-11-12,259.3417064977894,279.3417064977894,1020.0,0,1000.0
2023-11-19,261.74469379310153,281.74469379310153,1040.0,0,1020.0
2023-11-26,264.14768108841366,284.14768108841366,1060.0,0,1040.0
2023-12-03,266.5506683837258,286.5506683837258,1080.0,0,1060.0
2023-12-10,268.9536556790379,288.9536556790379,1100.0,0,1080.0
2023-12-17,271.35664297435005,291.35664297435005,1120.0,0,1100.0
2023-12-24,273.7596302696622,293.7596302696622,1140.0,0,1120.0
2023-12-31,276.16261756497425,296.16261756497425,1160.0,0,1140.0
2024-01-07,278.56560486028644,298.56560486028644,1180.0,0,1160.0
2024-01-14,280.9685921555985,300.9685921555985,1200.0,0,1180.0
2024-01-21,283.37157945091064,303.37157945091064,1220.0,0,1200.0
2024-01-28,285.77456674622283,305.77456674622283,1240.0,0,1220.0
2024-02-04,288.1775540415349,308.1775540415349,1260.0,0,1240.0
2024-02-11,290.58054133684703,310.58054133684703,1280.0,0,1260.0
2024-02-18,292.9835286321592,312.9835286321592,1300.0,0,1280.0
2024-02-25,295.3865159274713,315.3865159274713,1320.0,0,1300.0
2024-03-03,297.7895032227834,317.7895032227834,1340.0,0,1320.0
2024-03-10,300.1924905180955,320.1924905180955,1360.0,0,1340.0
2024-03-17,302.5954778134077,322.5954778134077,1380.0,0,1360.0
