ds,demanda,recepcion,inventario_final,stockout,sobrestock
2023-01-01,167.4120432,187.4120432,119.99999999999997,0,99.99999999999997
2023-01-08,165.98590864313726,185.98590864313726,139.99999999999997,0,119.99999999999997
2023-01-15,164.55977408627453,184.55977408627453,159.99999999999997,0,139.99999999999997
2023-01-22,163.13363953076075,183.13363953076075,179.99999999999997,0,159.99999999999997
2023-01-29,161.7075049778073,181.7075049778073,199.99999999999997,0,179.99999999999997
2023-02-05,160.28137042485383,180.28137042485383,219.99999999999994,0,199.99999999999994
2023-02-12,158.85523587069403,178.85523587069403,239.99999999999991,0,219.99999999999991
2023-02-19,157.42910131424512,177.42910131424512,259.9999999999999,0,239.9999999999999
2023-02-26,156.00296675779623,176.00296675779623,279.9999999999999,0,259.9999999999999
2023-03-05,154.57683220323298,174.57683220323298,299.9999999999999,0,279.9999999999999
2023-03-12,153.1506976486697,173.1506976486697,319.9999999999999,0,299.9999999999999
2023-03-19,151.72456309333822,171.72456309333822,339.9999999999999,0,319.9999999999999
2023-03-26,150.29842922737646,170.29842922737646,359.9999999999999,0,339.9999999999999
2023-04-02,148.87229536141467,168.87229536141467,379.9999999999999,0,359.9999999999999
2023-04-09,147.44704626782936,167.44704626782936,399.9999999999999,0,379.9999999999999
2023-04-16,146.02259438076956,166.02259438076956,419.9999999999999,0,399.9999999999999
2023-04-23,144.59814249370976,164.59814249370976,439.99999999999994,0,419.99999999999994
2023-04-30,143.17554195501074,163.17554195501074,459.9999999999999,0,439.9999999999999
2023-05-07,141.7529414163117,161.7529414163117,479.9999999999999,0,459.9999999999999
2023-05-14,140.33057604311543,160.33057604311543,499.9999999999999,0,479.9999999999999
2023-05-21,138.9114793163976,158.9114793163976,519.9999999999999,0,499.9999999999999
2023-05-28,137.49238258967975,157.49238258967975,539.9999999999999,0,519.9999999999999
2023-06-04,136.07356473790932,156.07356473790932,559.9999999999999,0,539.9999999999999
2023-06-11,137.66931855672715,157.66931855672715,579.9999999999999,0,559.9999999999999
2023-06-18,139.265072375545,159.265072375545,599.9999999999998,0,579.9999999999998
2023-06-25,140.8615786338452,160.8615786338452,619.9999999999998,0,599.9999999999998
2023-07-02,142.4580848921454,162.4580848921454,639.9999999999998,0,619.9999999999998
2023-07-09,144.05922887515143,164.05922887515143,659.9999999999998,0,639.9999999999998
2023-07-16,145.66091767318497,165.66091767318497,679.9999999999998,0,659.9999999999998
2023-07-23,147.2626064712185,167.2626064712185,699.9999999999998,0,679.9999999999998
2023-07-30,148.86459800258538,168.86459800258538,719.9999999999998,0,699.9999999999998
2023-08-06,150.46658953931694,170.46658953931694,739.9999999999998,0,719.9999999999998
2023-08-13,152.06858107604856,172.06858107604856,759.9999999999998,0,739.9999999999998
2023-08-20,153.67057261335896,173.67057261335896,779.9999999999998,0,759.9999999999998
2023-08-27,155.27256415066935,175.27256415066935,799.9999999999998,0,779.9999999999998
2023-09-03,156.87455568528753,176.87455568528753,819.9999999999998,0,799.9999999999998
2023-09-10,158.4765472181091,178.4765472181091,839.9999999999998,0,819.9999999999998
2023-09-17,160.07853875093056,180.07853875093056,859.9999999999998,0,839.9999999999998
2023-09-24,161.68053028485144,181.68053028485144,879.9999999999997,0,859.9999999999997
2023-10-01,163.2825218161686,183.2825218161686,899.9999999999998,0,879.9999999999998
2023-10-08,164.88451334748586,184.88451334748586,919.9999999999998,0,899.9999999999998
2023-10-15,166.48650487769396,186.48650487769396,939.9999999999998,0,919.9999999999998
2023-10-22,168.08849640790203,188.08849640790203,959.9999999999998,0,939.9999999999998
2023-10-29,169.69048793811012,189.69048793811012,979.9999999999999,0,959.9999999999999
2023-11-05,171.29247946831822,191.29247946831822,999.9999999999999,0,979.9999999999999
2023-11-12,172.8944709985263,192.8944709985263,1020.0,0,1000.0
2023-11-19,174.49646252873436,194.49646252873436,1040.0,0,1020.0
2023-11-26,176.09845405894248,196.09845405894248,1060.0,0,1040.0
2023-12-03,177.70044558915055,197.70044558915055,1080.0,0,1060.0
2023-12-10,179.3024371193586,199.3024371193586,1100.0,0,1080.0
2023-12-17,180.9044286495667,200.9044286495667,1120.0,0,1100.0
2023-12-24,182.5064201797748,202.5064201797748,1140.0,0,1120.0
2023-12-31,184.10841170998287,204.10841170998287,1160.0,0,1140.0
2024-01-07,185.710403240191,205.710403240191,1180.0,0,1160.0
2024-01-14,187.31239477039904,207.31239477039904,1200.0,0,1180.0
2024-01-21,188.91438630060716,208.91438630060716,1220.0,0,1200.0
2024-01-28,190.5163778308153,210.5163778308153,1240.0,0,1220.0
2024-02-04,192.11836936102327,212.11836936102327,1260.0,0,1240.0
2024-02-11,193.72036089123137,213.72036089123137,1280.0,0,1260.0
2024-02-18,195.32235242143952,215.32235242143952,1300.0,0,1280.0
2024-02-25,196.92434395164756,216.92434395164756,1320.0,0,1300.0
2024-03-03,198.52633548185565,218.52633548185565,1340.0,0,1320.0
2024-03-10,200.1283270120637,220.1283270120637,1360.0,0,1340.0
2024-03-17,201.7303185422718,221.7303185422718,1380.0,0,1360.0
