ds,demanda,recepcion,inventario_final,stockout,sobrestock
2023-01-01,209.265054,229.265054,119.99999999999997,0,99.99999999999997
2023-01-08,207.4823858039216,227.4823858039216,140.0,0,120.0
2023-01-15,205.6997176078432,225.6997176078432,160.00000000000003,0,140.00000000000003
2023-01-22,203.9170494134509,223.9170494134509,180.00000000000006,0,160.00000000000006
2023-01-29,202.13438122225912,222.13438122225912,200.00000000000009,0,180.00000000000009
2023-02-05,200.35171303106728,220.35171303106728,220.00000000000006,0,200.00000000000006
2023-02-12,198.56904483836752,218.56904483836752,240.00000000000006,0,220.00000000000006
2023-02-19,196.7863766428064,216.7863766428064,260.0,0,240.0
2023-02-26,195.0037084472453,215.0037084472453,280.0,0,260.0
2023-03-05,193.2210402540412,213.2210402540412,300.0,0,280.0
2023-03-12,191.43837206083717,211.43837206083717,320.0,0,300.0
2023-03-19,189.6557038666728,209.6557038666728,340.00000000000006,0,320.00000000000006
2023-03-26,187.87303653422055,207.87303653422055,360.0,0,340.0
2023-04-02,186.09036920176837,206.09036920176837,380.0,0,360.0
2023-04-09,184.3088078347867,204.3088078347867,399.99999999999994,0,379.99999999999994
2023-04-16,182.52824297596197,202.52824297596197,419.99999999999994,0,399.99999999999994
2023-04-23,180.7476781171372,200.7476781171372,440.0,0,420.0
2023-04-30,178.9694274437634,198.9694274437634,460.0,0,440.0
2023-05-07,177.19117677038963,197.19117677038963,479.99999999999994,0,459.99999999999994
2023-05-14,175.4132200538943,195.4132200538943,500.0,0,480.0
2023-05-21,173.63934914549696,193.63934914549696,520.0,0,500.0
2023-05-28,171.8654782370997,191.8654782370997,540.0,0,520.0
2023-06-04,170.09195592238666,190.09195592238666,560.0,0,540.0
2023-06-11,172.08664819590894,192.08664819590894,580.0,0,560.0
2023-06-18,174.08134046943124,194.08134046943124,600.0,0,580.0
2023-06-25,176.0769732923065,196.0769732923065,620.0,0,600.0
2023-07-02,178.07260611518174,198.07260611518174,640.0,0,620.0
2023-07-09,180.0740360939393,200.0740360939393,660.0,0,640.0
2023-07-16,182.0761470914812,202.0761470914812,680.0,0,660.0
2023-07-23,184.07825808902317,204.07825808902317,700.0,0,680.0
2023-07-30,186.0807475032317,206.0807475032317,720.0,0,700.0
2023-08-06,188.08323692414615,208.08323692414615,740.0,0,720.0
2023-08-13,190.0857263450607,210.0857263450607,760.0,0,740.0
2023-08-20,192.08821576669868,212.08821576669868,780.0,0,760.0
2023-08-27,194.09070518833667,214.09070518833667,800.0,0,780.0
2023-09-03,196.09319460660944,216.09319460660944,820.0,0,800.0
2023-09-10,198.09568402263636,218.09568402263636,840.0,0,820.0
2023-09-17,200.0981734386632,220.0981734386632,860.0,0,840.0
2023-09-24,202.1006628560643,222.1006628560643,879.9999999999999,0,859.9999999999999
2023-10-01,204.1031522702108,224.1031522702108,900.0,0,880.0
2023-10-08,206.10564168435727,226.10564168435727,920.0000000000001,0,900.0000000000001
2023-10-15,208.10813109711745,228.10813109711745,940.0000000000002,0,920.0000000000002
2023-10-22,210.11062050987752,230.11062050987752,960.0000000000001,0,940.0000000000001
2023-10-29,212.11310992263765,232.11310992263765,980.0,0,960.0
2023-11-05,214.11559933539775,234.11559933539775,1000.0,0,980.0
2023-11-12,216.11808874815785,236.11808874815785,1020.0,0,1000.0
2023-11-19,218.12057816091797,238.12057816091797,1040.0,0,1020.0
2023-11-26,220.12306757367807,240.12306757367807,1060.0,0,1040.0
2023-12-03,222.12555698643817,242.12555698643817,1080.0,0,1060.0
2023-12-10,224.12804639919827,244.12804639919827,1100.0,0,1080.0
2023-12-17,226.1305358119584,246.1305358119584,1120.0,0,1100.0
2023-12-24,228.1330252247185,248.1330252247185,1140.0,0,1120.0
2023-12-31,230.13551463747856,250.13551463747856,1160.0,0,1140.0
2024-01-07,232.13800405023872,252.13800405023872,1180.0,0,1160.0
2024-01-14,234.1404934629988,254.1404934629988,1200.0,0,1180.0
2024-01-21,236.1429828757589,256.1429828757589,1220.0,0,1200.0
2024-01-28,238.14547228851904,258.14547228851904,1240.0,0,1220.0
2024-02-04,240.1479617012791,260.1479617012791,1260.0,0,1240.0
2024-02-11,242.1504511140392,262.15045111403924,1280.0,0,1260.0
2024-02-18,244.15294052679937,264.1529405267994,1300.0,0,1280.0
2024-02-25,246.1554299395594,266.15542993955944,1320.0,0,1300.0
2024-03-03,248.1579193523195,268.1579193523195,1339.9999999999998,0,1319.9999999999998
2024-03-10,250.1604087650796,270.16040876507964,1359.9999999999998,0,1339.9999999999998
2024-03-17,252.1628981778397,272.1628981778397,1379.9999999999998,0,1359.9999999999998
