Semana,Demanda_Forecast_MA3,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout,Escenario
41,215,258,80.0,123.0,0,0,01_OPTIMO_A
42,212,255,123.0,166.0,0,0,01_OPTIMO_A
43,211,254,166.0,209.0,0,0,01_OPTIMO_A
44,205,246,209.0,250.0,0,0,01_OPTIMO_A
45,210,252,250.0,292.0,0,0,01_OPTIMO_A
46,217,261,292.0,300.0,36,0,01_OPTIMO_A
47,225,270,300.0,300.0,45,0,01_OPTIMO_A
48,227,273,300.0,300.0,46,0,01_OPTIMO_A
49,227,273,300.0,300.0,46,0,01_OPTIMO_A
50,224,269,300.0,300.0,45,0,01_OPTIMO_A
51,217,261,300.0,300.0,44,0,01_OPTIMO_A
52,213,256,300.0,300.0,43,0,01_OPTIMO_A
41,215,215,50.0,50.0,0,0,02_OPTIMO_B
42,212,212,50.0,50.0,0,0,02_OPTIMO_B
43,211,211,50.0,50.0,0,0,02_OPTIMO_B
44,205,205,50.0,50.0,0,0,02_OPTIMO_B
45,210,210,50.0,50.0,0,0,02_OPTIMO_B
46,217,217,50.0,50.0,0,0,02_OPTIMO_B
47,225,225,50.0,50.0,0,0,02_OPTIMO_B
48,227,227,50.0,50.0,0,0,02_OPTIMO_B
49,227,227,50.0,50.0,0,0,02_OPTIMO_B
50,224,224,50.0,50.0,0,0,02_OPTIMO_B
51,217,217,50.0,50.0,0,0,02_OPTIMO_B
52,213,213,50.0,50.0,0,0,02_OPTIMO_B
41,215,172,30.0,0.0,0,13,03_INTERMEDIO
42,212,170,0.0,0.0,0,42,03_INTERMEDIO
43,211,169,0.0,0.0,0,42,03_INTERMEDIO
44,205,164,0.0,0.0,0,41,03_INTERMEDIO
45,210,168,0.0,0.0,0,42,03_INTERMEDIO
46,217,174,0.0,0.0,0,43,03_INTERMEDIO
47,225,180,0.0,0.0,0,45,03_INTERMEDIO
48,227,182,0.0,0.0,0,45,03_INTERMEDIO
49,227,182,0.0,0.0,0,45,03_INTERMEDIO
50,224,180,0.0,0.0,0,44,03_INTERMEDIO
51,217,174,0.0,0.0,0,43,03_INTERMEDIO
52,213,171,0.0,0.0,0,42,03_INTERMEDIO
41,215,0,10.0,0.0,0,205,04_CRITICO_A
42,212,0,0.0,0.0,0,212,04_CRITICO_A
43,211,0,0.0,0.0,0,211,04_CRITICO_A
44,205,0,0.0,0.0,0,205,04_CRITICO_A
45,210,0,0.0,0.0,0,210,04_CRITICO_A
46,217,0,0.0,0.0,0,217,04_CRITICO_A
47,225,0,0.0,0.0,0,225,04_CRITICO_A
48,227,0,0.0,0.0,0,227,04_CRITICO_A
49,227,0,0.0,0.0,0,227,04_CRITICO_A
50,224,0,0.0,0.0,0,224,04_CRITICO_A
51,217,0,0.0,0.0,0,217,04_CRITICO_A
52,213,0,0.0,0.0,0,213,04_CRITICO_A
41,215,65,0.0,0.0,0,150,05_CRITICO_B
42,212,64,0.0,0.0,0,148,05_CRITICO_B
43,211,64,0.0,0.0,0,147,05_CRITICO_B
44,205,62,0.0,0.0,0,143,05_CRITICO_B
45,210,63,0.0,0.0,0,147,05_CRITICO_B
46,217,66,0.0,0.0,0,151,05_CRITICO_B
47,225,68,0.0,0.0,0,157,05_CRITICO_B
48,227,69,0.0,0.0,0,158,05_CRITICO_B
49,227,69,0.0,0.0,0,158,05_CRITICO_B
50,224,68,0.0,0.0,0,156,05_CRITICO_B
51,217,66,0.0,0.0,0,151,05_CRITICO_B
52,213,64,0.0,0.0,0,149,05_CRITICO_B
