semana,demanda,pronostico_ma3
1,210,
2,196,
3,215,207.0
4,239,216.66666666666666
5,196,216.66666666666666
6,195,210.0
7,219,203.33333333333334
8,202,205.33333333333334
9,193,204.66666666666666
10,203,199.33333333333334
11,200,198.66666666666666
12,198,200.33333333333334
13,176,191.33333333333334
14,175,183.0
15,180,177.0
16,185,180.0
17,162,175.66666666666666
18,178,175.0
19,180,173.33333333333334
20,166,174.66666666666666
21,164,170.0
22,159,163.0
23,171,164.66666666666666
24,161,163.66666666666666
25,152,161.33333333333334
26,176,163.0
27,164,164.0
28,167,169.0
29,165,165.33333333333334
30,167,166.33333333333334
31,180,170.66666666666666
32,177,174.66666666666666
33,197,184.66666666666666
34,202,192.0
35,204,201.0
36,221,209.0
37,230,218.33333333333334
38,216,222.33333333333334
39,213,219.66666666666666
40,208,212.33333333333334
41,225,215.33333333333334
42,204,212.33333333333334
43,204,211.0
44,206,204.66666666666666
45,219,209.66666666666666
46,227,217.33333333333334
47,228,224.66666666666666
48,226,227.0
49,226,226.66666666666666
50,219,223.66666666666666
51,206,217.0
52,213,212.66666666666666
