Semana,Demanda,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41.0,225.0,232.33333333333334,250.0,257.33333333333337,257.33333333333337,0
42.0,204.0,235.33333333333334,257.33333333333337,288.66666666666674,288.66666666666674,0
43.0,204.0,232.33333333333334,288.66666666666674,317.0000000000001,317.0000000000001,0
44.0,206.0,231.0,317.0000000000001,342.0000000000001,342.0000000000001,0
45.0,219.0,224.66666666666666,342.0000000000001,347.66666666666674,347.66666666666674,0
46.0,227.0,229.66666666666666,347.66666666666674,350.33333333333337,350.33333333333337,0
47.0,228.0,237.33333333333334,350.33333333333337,359.66666666666674,359.66666666666674,0
48.0,226.0,244.66666666666666,359.66666666666674,378.33333333333337,378.33333333333337,0
49.0,226.0,247.0,378.33333333333337,399.33333333333337,399.33333333333337,0
50.0,219.0,246.66666666666666,399.33333333333337,427.0,427.0,0
51.0,206.0,243.66666666666666,427.0,464.66666666666663,464.66666666666663,0
52.0,213.0,237.0,464.66666666666663,488.66666666666663,488.66666666666663,0
