semana,real,prophet,random_forest,ann
42,204,224.39460856621338,220.47,236.52567
43,204,228.0152328896792,221.18,248.59305
44,206,231.635857213145,222.28,263.77255
45,219,235.25648153661078,218.89,275.83994
46,227,238.87710586007657,216.46,288.62738
47,228,242.49773018354236,215.37,301.73935
48,226,246.11835450700818,219.09,317.73273
49,226,249.73897883047397,220.47,273.7842
50,219,253.3596031539398,221.18,285.8516
51,206,256.98022747740555,222.28,297.919
52,213,260.6008518008713,210.77,274.33005
