ds,yhat
2023-01-01,209.265054
2023-01-08,207.48238580392157
2023-01-15,205.69971760784316
2023-01-22,203.91704941345094
2023-01-29,202.13438122225912
2023-02-05,200.35171303106728
2023-02-12,198.56904483836752
2023-02-19,196.78637664280637
2023-02-26,195.0037084472453
2023-03-05,193.2210402540412
2023-03-12,191.43837206083714
2023-03-19,189.65570386667278
2023-03-26,187.87303653422057
2023-04-02,186.09036920176834
2023-04-09,184.3088078347867
2023-04-16,182.52824297596194
2023-04-23,180.74767811713718
2023-04-30,178.9694274437634
2023-05-07,177.19117677038963
2023-05-14,175.4132200538943
2023-05-21,173.63934914549696
2023-05-28,171.86547823709967
2023-06-04,170.09195592238666
2023-06-11,172.08664819590894
2023-06-18,174.08134046943124
2023-06-25,176.0769732923065
2023-07-02,178.07260611518174
2023-07-09,180.0740360939393
2023-07-16,182.0761470914812
2023-07-23,184.07825808902314
2023-07-30,186.08074750323172
2023-08-06,188.08323692414618
2023-08-13,190.0857263450607
2023-08-20,192.08821576669868
2023-08-27,194.09070518833667
2023-09-03,196.09319460660942
2023-09-10,198.09568402263633
2023-09-17,200.0981734386632
2023-09-24,202.1006628560643
2023-10-01,204.10315227021076
2023-10-08,206.10564168435732
2023-10-15,208.10813109711745
2023-10-22,210.11062050987752
2023-10-29,212.11310992263765
2023-11-05,214.11559933539777
2023-11-12,216.11808874815785
2023-11-19,218.12057816091794
2023-11-26,220.12306757367807
2023-12-03,222.12555698643817
2023-12-10,224.12804639919827
2023-12-17,226.13053581195837
2023-12-24,228.1330252247185
