semana,demanda,pronostico_ses
1,210,210.0
2,196,210.0
3,215,205.8
4,239,208.56
5,196,217.692
6,195,211.18439999999998
7,219,206.32907999999998
8,202,210.13035599999995
9,193,207.69124919999996
10,203,203.28387443999998
11,200,203.19871210799997
12,198,202.23909847559997
13,176,200.96736893291998
14,175,193.47715825304397
15,180,187.93401077713077
16,185,185.55380754399152
17,162,185.38766528079407
18,178,178.37136569655584
19,180,178.25995598758908
20,166,178.78196919131233
21,164,174.94737843391863
22,159,171.66316490374302
23,171,167.8642154326201
24,161,168.80495080283407
25,152,166.46346556198384
26,176,162.1244258933887
27,164,166.28709812537207
28,167,165.60096868776043
29,165,166.0206780814323
30,167,165.7144746570026
31,180,166.1001322599018
32,177,170.27009258193127
33,197,172.28906480735188
34,202,179.7023453651463
35,204,186.3916417556024
36,221,191.67414922892166
37,230,200.47190446024513
38,216,209.33033312217157
39,213,211.3312331855201
40,208,211.83186322986407
41,225,210.68230426090486
42,204,214.9776129826334
43,204,211.68432908784334
44,206,209.37903036149032
45,219,208.3653212530432
46,227,211.55572487713022
47,228,216.18900741399113
48,226,219.73230518979375
49,226,221.61261363285558
50,219,222.92882954299887
51,206,221.75018068009922
52,213,217.02512647606943
