Semana,Demanda_Forecast_Prophet,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout,Escenario
41,219,263,80.0,124.0,0.0,0.0,OPTIMO A
42,223,268,124.0,169.0,0.0,0.0,OPTIMO A
43,226,272,169.0,215.0,0.0,0.0,OPTIMO A
44,230,276,215.0,261.0,0.0,0.0,OPTIMO A
45,233,280,261.0,300.0,8.0,0.0,OPTIMO A
46,237,285,300.0,300.0,48.0,0.0,OPTIMO A
47,240,288,300.0,300.0,48.0,0.0,OPTIMO A
48,244,293,300.0,300.0,49.0,0.0,OPTIMO A
49,247,297,300.0,300.0,50.0,0.0,OPTIMO A
50,251,302,300.0,300.0,51.0,0.0,OPTIMO A
51,254,305,300.0,300.0,51.0,0.0,OPTIMO A
52,258,310,300.0,300.0,52.0,0.0,OPTIMO A
41,219,219,50.0,50.0,0.0,0.0,OPTIMO B
42,223,223,50.0,50.0,0.0,0.0,OPTIMO B
43,226,226,50.0,50.0,0.0,0.0,OPTIMO B
44,230,230,50.0,50.0,0.0,0.0,OPTIMO B
45,233,233,50.0,50.0,0.0,0.0,OPTIMO B
46,237,237,50.0,50.0,0.0,0.0,OPTIMO B
47,240,240,50.0,50.0,0.0,0.0,OPTIMO B
48,244,244,50.0,50.0,0.0,0.0,OPTIMO B
49,247,247,50.0,50.0,0.0,0.0,OPTIMO B
50,251,251,50.0,50.0,0.0,0.0,OPTIMO B
51,254,254,50.0,50.0,0.0,0.0,OPTIMO B
52,258,258,50.0,50.0,0.0,0.0,OPTIMO B
41,219,176,30.0,0.0,0.0,13.0,INTERMEDIO
42,223,179,0.0,0.0,0.0,44.0,INTERMEDIO
43,226,181,0.0,0.0,0.0,45.0,INTERMEDIO
44,230,184,0.0,0.0,0.0,46.0,INTERMEDIO
45,233,187,0.0,0.0,0.0,46.0,INTERMEDIO
46,237,190,0.0,0.0,0.0,47.0,INTERMEDIO
47,240,192,0.0,0.0,0.0,48.0,INTERMEDIO
48,244,196,0.0,0.0,0.0,48.0,INTERMEDIO
49,247,198,0.0,0.0,0.0,49.0,INTERMEDIO
50,251,201,0.0,0.0,0.0,50.0,INTERMEDIO
51,254,204,0.0,0.0,0.0,50.0,INTERMEDIO
52,258,207,0.0,0.0,0.0,51.0,INTERMEDIO
41,219,0,10.0,0.0,0.0,209.0,CRITICO A
42,223,0,0.0,0.0,0.0,223.0,CRITICO A
43,226,0,0.0,0.0,0.0,226.0,CRITICO A
44,230,0,0.0,0.0,0.0,230.0,CRITICO A
45,233,0,0.0,0.0,0.0,233.0,CRITICO A
46,237,0,0.0,0.0,0.0,237.0,CRITICO A
47,240,0,0.0,0.0,0.0,240.0,CRITICO A
48,244,0,0.0,0.0,0.0,244.0,CRITICO A
49,247,0,0.0,0.0,0.0,247.0,CRITICO A
50,251,0,0.0,0.0,0.0,251.0,CRITICO A
51,254,0,0.0,0.0,0.0,254.0,CRITICO A
52,258,0,0.0,0.0,0.0,258.0,CRITICO A
41,219,66,0.0,0.0,0.0,153.0,CRITICO B
42,223,67,0.0,0.0,0.0,156.0,CRITICO B
43,226,68,0.0,0.0,0.0,158.0,CRITICO B
44,230,69,0.0,0.0,0.0,161.0,CRITICO B
45,233,70,0.0,0.0,0.0,163.0,CRITICO B
46,237,72,0.0,0.0,0.0,165.0,CRITICO B
47,240,72,0.0,0.0,0.0,168.0,CRITICO B
48,244,74,0.0,0.0,0.0,170.0,CRITICO B
49,247,75,0.0,0.0,0.0,172.0,CRITICO B
50,251,76,0.0,0.0,0.0,175.0,CRITICO B
51,254,77,0.0,0.0,0.0,177.0,CRITICO B
52,258,78,0.0,0.0,0.0,180.0,CRITICO B
