Semana,Demanda_Forecast_RF,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout,Escenario
41,210,252,80.0,122.0,0,0,OPTIMO A
42,223,268,122.0,167.0,0,0,OPTIMO A
43,210,252,167.0,209.0,0,0,OPTIMO A
44,217,261,209.0,253.0,0,0,OPTIMO A
45,217,261,253.0,297.0,0,0,OPTIMO A
46,222,267,297.0,300.0,42,0,OPTIMO A
47,214,257,300.0,300.0,43,0,OPTIMO A
48,213,256,300.0,300.0,43,0,OPTIMO A
49,213,256,300.0,300.0,43,0,OPTIMO A
50,213,256,300.0,300.0,43,0,OPTIMO A
51,213,256,300.0,300.0,43,0,OPTIMO A
52,208,250,300.0,300.0,42,0,OPTIMO A
41,210,210,50.0,50.0,0,0,OPTIMO B
42,223,223,50.0,50.0,0,0,OPTIMO B
43,210,210,50.0,50.0,0,0,OPTIMO B
44,217,217,50.0,50.0,0,0,OPTIMO B
45,217,217,50.0,50.0,0,0,OPTIMO B
46,222,222,50.0,50.0,0,0,OPTIMO B
47,214,214,50.0,50.0,0,0,OPTIMO B
48,213,213,50.0,50.0,0,0,OPTIMO B
49,213,213,50.0,50.0,0,0,OPTIMO B
50,213,213,50.0,50.0,0,0,OPTIMO B
51,213,213,50.0,50.0,0,0,OPTIMO B
52,208,208,50.0,50.0,0,0,OPTIMO B
41,210,168,30.0,0.0,0,12,INTERMEDIO
42,223,179,0.0,0.0,0,44,INTERMEDIO
43,210,168,0.0,0.0,0,42,INTERMEDIO
44,217,174,0.0,0.0,0,43,INTERMEDIO
45,217,174,0.0,0.0,0,43,INTERMEDIO
46,222,178,0.0,0.0,0,44,INTERMEDIO
47,214,172,0.0,0.0,0,42,INTERMEDIO
48,213,171,0.0,0.0,0,42,INTERMEDIO
49,213,171,0.0,0.0,0,42,INTERMEDIO
50,213,171,0.0,0.0,0,42,INTERMEDIO
51,213,171,0.0,0.0,0,42,INTERMEDIO
52,208,167,0.0,0.0,0,41,INTERMEDIO
41,210,0,10.0,0.0,0,200,CRITICO A
42,223,0,0.0,0.0,0,223,CRITICO A
43,210,0,0.0,0.0,0,210,CRITICO A
44,217,0,0.0,0.0,0,217,CRITICO A
45,217,0,0.0,0.0,0,217,CRITICO A
46,222,0,0.0,0.0,0,222,CRITICO A
47,214,0,0.0,0.0,0,214,CRITICO A
48,213,0,0.0,0.0,0,213,CRITICO A
49,213,0,0.0,0.0,0,213,CRITICO A
50,213,0,0.0,0.0,0,213,CRITICO A
51,213,0,0.0,0.0,0,213,CRITICO A
52,208,0,0.0,0.0,0,208,CRITICO A
41,210,63,0.0,0.0,0,147,CRITICO B
42,223,67,0.0,0.0,0,156,CRITICO B
43,210,63,0.0,0.0,0,147,CRITICO B
44,217,66,0.0,0.0,0,151,CRITICO B
45,217,66,0.0,0.0,0,151,CRITICO B
46,222,67,0.0,0.0,0,155,CRITICO B
47,214,65,0.0,0.0,0,149,CRITICO B
48,213,64,0.0,0.0,0,149,CRITICO B
49,213,64,0.0,0.0,0,149,CRITICO B
50,213,64,0.0,0.0,0,149,CRITICO B
51,213,64,0.0,0.0,0,149,CRITICO B
52,208,63,0.0,0.0,0,145,CRITICO B
